場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷
中山,4,新馬,ダート,1800,稍,4,アンディラメナ,2歳,ルメール,田島俊明,中距離,右回り,ダ道悪,クリソベリル,,
中山,4,新馬,ダート,1800,稍,5,チッタデラモーレ,2歳,三浦皇成,伊藤圭三,中距離,右回り,ダ道悪,アメリカンペイトリオット,,
中山,4,新馬,ダート,1800,稍,6,アーティラリー,2歳,菊沢一樹,松山将樹,中距離,右回り,ダ道悪,ホッコータルマエ,,
中山,4,新馬,ダート,1800,稍,7,エイシンジザイテン,2歳,津村明秀,田中剛,中距離,右回り,ダ道悪,サンダースノー,,
中山,4,新馬,ダート,1800,稍,8,ナリノシャーウッド,2歳,岩田望来,田村康仁,中距離,右回り,ダ道悪,マインドユアビスケッツ,,
中山,4,新馬,ダート,1800,稍,9,アンバサダネージュ,2歳,武藤雅,武藤善則,中距離,右回り,ダ道悪,シニスターミニスター,,
中山,4,新馬,ダート,1800,稍,10,ブルーサーマル,2歳,佐々木大,池上昌和,中距離,右回り,ダ道悪,アメリカンペイトリオット,,
中山,4,新馬,ダート,1800,稍,11,クアッドフォルツァ,2歳,丹内祐次,伊藤圭三,中距離,右回り,ダ道悪,ゴールドドリーム,,
中山,4,新馬,ダート,1800,稍,12,ブームバップビート,2歳,横山武史,中内田充,中距離,右回り,ダ道悪,Into Mischief,,
中山,4,新馬,ダート,1800,稍,13,アトラステソーロ,2歳,菅原明良,高木登,中距離,右回り,ダ道悪,キタサンブラック,,
中山,4,新馬,ダート,1800,稍,14,ミラクルカイザー,2歳,丸田恭介,武市康男,中距離,右回り,ダ道悪,マクフィ,,
中山,4,新馬,ダート,1800,稍,15,ヘルメスギャング,2歳,今村聖奈,武井亮,中距離,右回り,ダ道悪,ブリックスアンドモルタル,,
中山,4,新馬,ダート,1800,稍,16,サンデーパーティー,2歳,横山琉人,相沢郁,中距離,右回り,ダ道悪,ホッコータルマエ,,
中山,5,新馬,芝,2000,良,1,ノリマル,2歳,吉田隼人,尾形和幸,中距離,右回り,,ブリックスアンドモルタル,,
中山,5,新馬,芝,2000,良,2,ウィロークリーク,2歳,横山和生,中舘英二,中距離,右回り,,ラブリーデイ,,
中山,5,新馬,芝,2000,良,3,ヴァリスクブレイズ,2歳,石橋脩,大和田成,中距離,右回り,,ウインブライト,,
中山,5,新馬,芝,2000,良,4,トップデュオ,2歳,岩田望来,尾関知人,中距離,右回り,,シスキン,,
中山,5,新馬,芝,2000,良,5,ラスタリア,2歳,菊沢一樹,岩戸孝樹,中距離,右回り,,ゴールドシップ,,
中山,5,新馬,芝,2000,良,6,ラッキースウィッチ,2歳,横山武史,蛯名正義,中距離,右回り,,Lucky Vega,,
中山,5,新馬,芝,2000,良,7,フロレセール,2歳,ルメール,辻哲英,中距離,右回り,,レイデオロ,,
中山,5,新馬,芝,2000,良,8,ゼータレティクル,2歳,原優介,小手川準,中距離,右回り,,ビーチパトロール,,
中山,5,新馬,芝,2000,良,9,シーギリヤロック,2歳,モレイラ,田中博康,中距離,右回り,,リオンディーズ,,
中山,5,新馬,芝,2000,良,10,ゴールドエンバー,2歳,木幡巧也,竹内正洋,中距離,右回り,,バゴ,,
中山,6,自己条件,ダート,1200,良,1,カガバベル,3歳,横山琉人,萱野浩二,短距離,右回り,,タワーオブロンドン,,
中山,6,自己条件,ダート,1200,良,2,レリッシュ,4歳,菅原隆一,天間昭一,短距離,右回り,,コパノリッキー,休明初戦,距離短縮
中山,6,自己条件,ダート,1200,良,3,シウン,5歳以上,菊沢一樹,矢野英一,短距離,右回り,,モーリス,連闘,
中山,6,自己条件,ダート,1200,良,4,リュキア,3歳,木幡巧也,牧光二,短距離,右回り,,アメリカンペイトリオット,,
中山,6,自己条件,ダート,1200,良,5,ペイシャスウィフト,4歳,遠藤汰月,本間忍,短距離,右回り,,ダノンレジェンド,休明初戦,
中山,6,自己条件,ダート,1200,良,6,ビーコング,4歳,小林美駒,小手川準,短距離,右回り,,タリスマニック,連闘,
中山,6,自己条件,ダート,1200,良,7,アツキヤマト,4歳,小林凌大,小西一男,短距離,右回り,,マルターズアポジー,休明3走,
中山,6,自己条件,ダート,1200,良,8,カップッチョ,5歳以上,黛弘人,南田美知,短距離,右回り,,ジョーカプチーノ,連闘,
中山,6,自己条件,ダート,1200,良,9,オコジュ,5歳以上,嶋田純次,矢嶋大樹,短距離,右回り,,ロゴタイプ,連闘,
中山,6,自己条件,ダート,1200,良,10,タイセイピューマ,4歳,大野拓弥,新開幸一,短距離,右回り,,ディスクリートキャット,,
中山,6,自己条件,ダート,1200,良,11,ショウナンハクウン,5歳以上,岩田望来,大竹正博,短距離,右回り,,ダイワメジャー,,
中山,6,自己条件,ダート,1200,良,12,ブルーデイジー,5歳以上,的場勇人,的場均,短距離,右回り,,ディスクリートキャット,,距離延長
中山,6,自己条件,ダート,1200,良,13,ホウオウブースター,3歳,鮫島克駿,高柳瑞樹,短距離,右回り,,ブリックスアンドモルタル,休明初戦,
中山,6,自己条件,ダート,1200,良,14,チャロ,3歳,菅原明良,和田正一,短距離,右回り,,ヘニーヒューズ,,
中山,6,自己条件,ダート,1200,良,15,スーパーバイザー,4歳,石田拓郎,菊沢隆徳,短距離,右回り,,ルーラーシップ,,距離延長
中山,6,自己条件,ダート,1200,良,16,ボエーム,4歳,水沼元輝,石栗龍彦,短距離,右回り,,アニマルキングダム,,
中山,7,自己条件,ダート,1800,良,1,コスモコンフェルマ,3歳,丹内祐次,鈴木慎太,中距離,右回り,,ホッコータルマエ,休明初戦,
中山,7,自己条件,ダート,1800,良,2,ロードフロリゼル,3歳,岩田望来,稲垣幸雄,中距離,右回り,,リオンディーズ,休明2走,
中山,7,自己条件,ダート,1800,良,3,ブリスフル,4歳,丸田恭介,武市康男,中距離,右回り,,エスポワールシチー,,
中山,7,自己条件,ダート,1800,良,4,カルフ,4歳,杉原誠人,大和田成,中距離,右回り,,カリフォルニアクローム,休明3走,
中山,7,自己条件,ダート,1800,良,5,スターエンブレム,3歳,菅原明良,林徹,中距離,右回り,,ロードカナロア,休明3走,距離延長
中山,7,自己条件,ダート,1800,良,6,ブルーゴールド,5歳以上,野中悠太,根本康広,中距離,右回り,,アイファーソング,,
中山,7,自己条件,ダート,1800,良,7,コスモフレディ,4歳,戸崎圭太,水野貴広,中距離,右回り,,シニスターミニスター,休明2走,距離延長
中山,7,自己条件,ダート,1800,良,8,カージオイド,3歳,木幡巧也,黒岩陽一,中距離,右回り,,サトノダイヤモンド,,
中山,7,自己条件,ダート,1800,良,9,オリ,5歳以上,上里直汰,清水英克,中距離,右回り,,パイロ,休明初戦,
中山,7,自己条件,ダート,1800,良,10,メリークリスマス,3歳,菊沢一樹,小手川準,中距離,右回り,,ルヴァンスレーヴ,,距離延長
中山,7,自己条件,ダート,1800,良,11,タニセンドリーム,4歳,横山武史,加藤士津,中距離,右回り,,マジェスティックウォリアー,休明3走,
中山,7,自己条件,ダート,1800,良,12,モヴレクス,4歳,鮫島克駿,金成貴史,中距離,右回り,,ブリックスアンドモルタル,休明初戦,距離延長
中山,7,自己条件,ダート,1800,良,13,ファーレンジョー,5歳以上,小林凌大,蛯名利弘,中距離,右回り,,ベーカバド,休明初戦,距離延長
中山,7,自己条件,ダート,1800,良,14,グロリアスヒーロー,5歳以上,石神深道,高木登,中距離,右回り,,スクリーンヒーロー,,距離延長
中山,7,自己条件,ダート,1800,良,15,ホウオウラムセス,4歳,横山琉人,加藤和宏,中距離,右回り,,エピファネイア,休明2走,
中山,7,自己条件,ダート,1800,良,16,リザードアイランド,3歳,横山和生,田村康仁,中距離,右回り,,イスラボニータ,休明初戦,
中山,8,自己条件,芝,1200,良,1,イコノスタシス,5歳以上,岩田望来,古賀慎明,短距離,右回り,,モーリス,,距離短縮
中山,8,自己条件,芝,1200,良,2,ダノンゴーイチ,5歳以上,菊沢一樹,菊沢隆徳,短距離,右回り,,イスラボニータ,休明2走,距離短縮
中山,8,自己条件,芝,1200,良,3,ルシェロアズーリ,3歳,遠藤汰月,鈴木伸尋,短距離,右回り,,ノーブルミッション,,
中山,8,自己条件,芝,1200,良,4,レッドカメリア,5歳以上,内田博幸,佐藤吉勝,短距離,右回り,,レーヴミストラル,,
中山,8,自己条件,芝,1200,良,5,ホウオウガイア,3歳,丸田恭介,大竹正博,短距離,右回り,,シルバーステート,休明3走,距離短縮
中山,8,自己条件,芝,1200,良,6,アストラッド,4歳,佐々木大,和田正一,短距離,右回り,,ダノンバラード,休明3走,距離短縮
中山,8,自己条件,芝,1200,良,7,オンザヴィーナス,4歳,杉原誠人,大和田成,短距離,右回り,,ミッキーアイル,休明初戦,
中山,8,自己条件,芝,1200,良,8,ナリノエンブレム,3歳,鮫島克駿,加藤征弘,短距離,右回り,,パドトロワ,,距離延長
中山,8,自己条件,芝,1200,良,9,ダガーリング,3歳,石神深道,和田雄二,短距離,右回り,,タワーオブロンドン,,
中山,8,自己条件,芝,1200,良,10,セイウンデセオ,4歳,今村聖奈,小手川準,短距離,右回り,,ヴィクトワールピサ,,
中山,8,自己条件,芝,1200,良,11,クリノゴッホ,5歳以上,大野拓弥,岩戸孝樹,短距離,右回り,,マツリダゴッホ,,
中山,8,自己条件,芝,1200,良,12,キャナルクルーズ,3歳,横山武史,大竹正博,短距離,右回り,,ロードカナロア,,
中山,8,自己条件,芝,1200,良,13,タマカヅラ,3歳,小林美駒,斎藤誠,短距離,右回り,,フィエールマン,休明2走,
中山,8,自己条件,芝,1200,良,14,シュシュトディエス,4歳,水沼元輝,石栗龍彦,短距離,右回り,,シルバーステート,休明初戦,距離短縮
中山,8,自己条件,芝,1200,良,15,マイネルステラート,3歳,丹内祐次,高木登,短距離,右回り,,ミッキーアイル,休明2走,
中山,8,自己条件,芝,1200,良,16,ムゾラシカ,3歳,丸山元気,根本康広,短距離,右回り,,エスケンデレヤ,,距離短縮
中山,9,自己条件,芝,1600,良,1,ツルマウカタチ,4歳,嶋田純次,手塚貴久,短距離,右回り,,ヤングマンパワー,休明2走,距離短縮
中山,9,自己条件,芝,1600,良,2,ヴァルドルチャ,4歳,菅原明良,田中博康,短距離,右回り,,スワーヴリチャード,休明3走,距離延長
中山,9,自己条件,芝,1600,良,3,ヒシアマン,3歳,モレイラ,堀宣行,短距離,右回り,,モーリス,休明2走,距離延長
中山,9,自己条件,芝,1600,良,4,ロゼル,5歳以上,横山琉人,大和田成,短距離,右回り,,シルバーステート,,距離短縮
中山,9,自己条件,芝,1600,良,5,ケイケイ,4歳,大野拓弥,杉浦宏昭,短距離,右回り,,イスラボニータ,休明初戦,
中山,9,自己条件,芝,1600,良,6,カズミクラーシュ,4歳,岩田望来,吉岡辰弥,短距離,右回り,,モーリス,休明初戦,
中山,9,自己条件,芝,1600,良,7,グレイトクラウン,4歳,木幡巧也,松山将樹,短距離,右回り,,サトノクラウン,休明3走,距離短縮
中山,9,自己条件,芝,1600,良,8,メタルスピード,5歳以上,丹内祐次,斎藤誠,短距離,右回り,,シルバーステート,,
中山,9,自己条件,芝,1600,良,9,シルバーレイン,3歳,ルメール,萩原清,短距離,右回り,,エピファネイア,休明初戦,距離延長
中山,10,自己条件,ダート,1800,良,1,クラウンシエンタ,4歳,三浦皇成,水野貴広,中距離,右回り,,パイロ,休明3走,
中山,10,自己条件,ダート,1800,良,2,リバートゥルー,5歳以上,吉田豊,久保田貴,中距離,右回り,,レッドファルクス,休明初戦,距離延長
中山,10,自己条件,ダート,1800,良,3,タガノチョコラータ,5歳以上,佐々木大,角田晃一,中距離,右回り,,アメリカンペイトリオット,休明初戦,
中山,10,自己条件,ダート,1800,良,4,ヨリノサファイヤ,5歳以上,横山琉人,根本康広,中距離,右回り,,コパノリッキー,休明初戦,距離短縮
中山,10,自己条件,ダート,1800,良,5,ソレルビュレット,4歳,岩田望来,宮田敬介,中距離,右回り,,Malibu Moon,,距離延長
中山,10,自己条件,ダート,1800,良,6,イージーオンミー,5歳以上,原優介,中舘英二,中距離,右回り,,ダイワメジャー,,距離延長
中山,10,自己条件,ダート,1800,良,7,エスコバル,5歳以上,石川裕紀,高橋文雅,中距離,右回り,,モーリス,休明初戦,距離短縮
中山,10,自己条件,ダート,1800,良,8,ブレスワード,4歳,ルメール,中舘英二,中距離,右回り,,ニューイヤーズデイ,,距離延長
中山,10,自己条件,ダート,1800,良,9,プレイサーゴールド,5歳以上,津村明秀,今野貞一,中距離,右回り,,シニスターミニスター,,距離延長
中山,10,自己条件,ダート,1800,良,10,エスティメート,5歳以上,黛弘人,大和田成,中距離,右回り,,プリサイスエンド,,距離延長
中山,10,自己条件,ダート,1800,良,11,ロードマゼラン,5歳以上,大野拓弥,奥村豊,中距離,右回り,,ルーラーシップ,休明初戦,距離短縮
中山,10,自己条件,ダート,1800,良,12,ハギノサステナブル,5歳以上,モレイラ,高野友和,中距離,右回り,,サトノダイヤモンド,,距離短縮
中山,10,自己条件,ダート,1800,良,13,レシプロシティ,5歳以上,丹内祐次,田村康仁,中距離,右回り,,キズナ,,距離延長
中山,10,自己条件,ダート,1800,良,14,プラウドヘリテージ,5歳以上,松岡正海,田中剛,中距離,右回り,,ジャスタウェイ,休明初戦,距離短縮
中山,10,自己条件,ダート,1800,良,15,イムホテプ,3歳,横山武史,萩原清,中距離,右回り,,ニューイヤーズデイ,休明2走,距離延長
中山,10,自己条件,ダート,1800,良,16,ゴールドアローン,4歳,菊沢一樹,青木孝文,中距離,右回り,,ドレフォン,,
中山,11,重賞,芝,2200,良,1,コスモキュランダ,4歳,丹内祐次,加藤士津,中距離,右回り,,アルアイン,休明2走,距離延長
中山,11,重賞,芝,2200,良,2,リビアングラス,5歳以上,鮫島克駿,矢作芳人,中距離,右回り,,キズナ,,距離延長
中山,11,重賞,芝,2200,良,3,クロミナンス,5歳以上,モレイラ,尾関知人,中距離,右回り,,ロードカナロア,休明初戦,距離短縮
中山,11,重賞,芝,2200,良,4,レガレイラ,4歳,戸崎圭太,木村哲也,中距離,右回り,,スワーヴリチャード,休明初戦,
中山,11,重賞,芝,2200,良,5,ホーエリート,4歳,横山武史,田島俊明,中距離,右回り,,ルーラーシップ,休明初戦,距離短縮
中山,11,重賞,芝,2200,良,6,シュバルツクーゲル,4歳,菅原明良,鹿戸雄一,中距離,右回り,,キズナ,休明3走,距離短縮
中山,11,重賞,芝,2200,良,7,ヨーホーレイク,5歳以上,岩田望来,友道康夫,中距離,右回り,,ディープインパクト,休明初戦,
中山,11,重賞,芝,2200,良,8,リカンカブール,5歳以上,吉田隼人,田中克典,中距離,右回り,,シルバーステート,休明2走,距離延長
中山,11,重賞,芝,2200,良,9,ドゥラドーレス,5歳以上,ルメール,宮田敬介,中距離,右回り,,ドゥラメンテ,休明3走,距離延長
中山,11,重賞,芝,2200,良,10,フェアエールング,5歳以上,津村明秀,和田正一,中距離,右回り,,ゴールドシップ,休明2走,距離延長
中山,11,重賞,芝,2200,良,11,ワイドエンペラー,5歳以上,佐々木大,藤岡健一,中距離,右回り,,ルーラーシップ,休明初戦,距離短縮
中山,12,自己条件,ダート,1800,良,1,サツキノジョウ,4歳,丹内祐次,武井亮,中距離,右回り,,レイデオロ,,距離延長
中山,12,自己条件,ダート,1800,良,2,イゾラフェリーチェ,4歳,三浦皇成,鹿戸雄一,中距離,右回り,,サトノクラウン,,距離延長
中山,12,自己条件,ダート,1800,良,3,ミレニアムヒロイン,4歳,木幡巧也,池上昌和,中距離,右回り,,スクリーンヒーロー,,距離延長
中山,12,自己条件,ダート,1800,良,4,ゴヴェルナーレリコ,4歳,小林美駒,辻哲英,中距離,右回り,,エイシンフラッシュ,休明初戦,
中山,12,自己条件,ダート,1800,良,5,コンアフェット,3歳,津村明秀,斎藤誠,中距離,右回り,,ルーラーシップ,休明3走,
中山,12,自己条件,ダート,1800,良,6,スマートプレシャス,4歳,佐々木大,中村直也,中距離,右回り,,シャンハイボビー,,距離延長
中山,12,自己条件,ダート,1800,良,7,モズカトレア,3歳,岩田望来,井上智史,中距離,右回り,,モズアスコット,休明2走,
中山,12,自己条件,ダート,1800,良,8,アパイシュナール,4歳,内田博幸,田村康仁,中距離,右回り,,シニスターミニスター,,距離延長
中山,12,自己条件,ダート,1800,良,9,ラヴァブル,3歳,鮫島克駿,松下武士,中距離,右回り,,ジャスタウェイ,,
中山,12,自己条件,ダート,1800,良,10,ウィンターダフネ,5歳以上,今村聖奈,国枝栄,中距離,右回り,,ブラックタイド,,
中山,12,自己条件,ダート,1800,良,11,エイシンナデシコ,3歳,柴田大知,田中剛,中距離,右回り,,タリスマニック,,距離短縮
中山,12,自己条件,ダート,1800,良,12,エターナルプロミス,3歳,戸崎圭太,茶木太樹,中距離,右回り,,ドレフォン,休明2走,
中山,12,自己条件,ダート,1800,良,13,サンセットブライト,4歳,横山琉人,相沢郁,中距離,右回り,,ホッコータルマエ,,
中山,12,自己条件,ダート,1800,良,14,マフィン,4歳,石神深道,大和田成,中距離,右回り,,ミッキーアイル,,距離延長
中山,12,自己条件,ダート,1800,良,15,アンドリーナ,3歳,横山武史,牧浦充徳,中距離,右回り,,リオンディーズ,,
中山,12,自己条件,ダート,1800,良,16,ロフティーイデアル,5歳以上,ルメール,林徹,中距離,右回り,,サトノクラウン,休明2走,
阪神,1,未勝利,障害(直線ダ),2970,良,1,セイフウサツキ,3歳,難波剛健,松永幹夫,長距離,右回り,,サトノクラウン,,距離延長
阪神,1,未勝利,障害(直線ダ),2970,良,2,トゥルース,5歳以上,上野翔,金成貴史,長距離,右回り,,ジャスタウェイ,休明初戦,距離延長
阪神,1,未勝利,障害(直線ダ),2970,良,3,コパノニコルソン,5歳以上,小牧加矢,宮徹,長距離,右回り,,コパノリッキー,,距離延長
阪神,1,未勝利,障害(直線ダ),2970,良,4,ゴールデンスロープ,4歳,大江原圭,小笠倫弘,長距離,右回り,,ゴールドシップ,休明初戦,
阪神,1,未勝利,障害(直線ダ),2970,良,5,シンドバッド,5歳以上,坂口智康,土田稔,長距離,右回り,,ルーラーシップ,,距離延長
阪神,1,未勝利,障害(直線ダ),2970,良,6,リードアクトレス,4歳,小野寺祐,安達昭夫,長距離,右回り,,マジェスティックウォリアー,,距離延長
阪神,1,未勝利,障害(直線ダ),2970,良,7,エブリモーメント,4歳,黒岩悠,牧田和弥,長距離,右回り,,ベストウォーリア,休明3走,距離延長
阪神,1,未勝利,障害(直線ダ),2970,良,8,オステリア,5歳以上,高田潤,宮本博,長距離,右回り,,ドレフォン,休明初戦,
阪神,2,未勝利,芝,1600,良,1,シーミハットク,2歳,小崎綾也,寺島良,短距離,右回り,,オルフェーヴル,休明初戦,距離短縮
阪神,2,未勝利,芝,1600,良,2,パンサーズ,2歳,松若風馬,今野貞一,短距離,右回り,,ダノンプレミアム,,
阪神,2,未勝利,芝,1600,良,3,クライナリーゼ,2歳,酒井学,高橋康之,短距離,右回り,,カレンブラックヒル,,距離延長
阪神,2,未勝利,芝,1600,良,4,ビッグヒーロー,2歳,川田将雅,福永祐一,短距離,右回り,,コントレイル,,
阪神,2,未勝利,芝,1600,良,5,セイカンサンラン,2歳,柴田裕一,大根田裕,短距離,右回り,,カリフォルニアクローム,,距離短縮
阪神,2,未勝利,芝,1600,良,6,パトローナス,2歳,亀田温心,高橋亮,短距離,右回り,,フィエールマン,,
阪神,2,未勝利,芝,1600,良,7,コルテオソレイユ,2歳,浜中俊,佐藤悠太,短距離,右回り,,ウインブライト,,距離延長
阪神,2,未勝利,芝,1600,良,8,アスミル,2歳,太宰啓介,本田優,短距離,右回り,,ダノンプレミアム,,距離延長
阪神,2,未勝利,芝,1600,良,9,クールドリオン,2歳,坂井瑠星,庄野靖志,短距離,右回り,,スワーヴリチャード,,距離短縮
阪神,2,未勝利,芝,1600,良,10,メイショウメゴヒメ,2歳,和田陽希,大橋勇樹,短距離,右回り,,アニマルキングダム,,
阪神,2,未勝利,芝,1600,良,11,リアンマカ,2歳,田口貫太,高橋一哉,短距離,右回り,,マインドユアビスケッツ,,距離延長
阪神,2,未勝利,芝,1600,良,12,アルヴァンドルード,2歳,松山弘平,池添学,短距離,右回り,,モーリス,,距離短縮
阪神,2,未勝利,芝,1600,良,13,メイクワンズデイ,2歳,武豊,宮地貴稔,短距離,右回り,,ベンバトル,,
阪神,3,未勝利,ダート,1800,良,1,グランワールド,2歳,田口貫太,新谷功一,中距離,右回り,,シニスターミニスター,,
阪神,3,未勝利,ダート,1800,良,2,バンブトンコール,2歳,亀田温心,佐藤悠太,中距離,右回り,,クリソベリル,,
阪神,3,未勝利,ダート,1800,良,3,ブルースプレイヤー,2歳,西塚洸二,高橋亮,中距離,右回り,,マインドユアビスケッツ,,
阪神,3,未勝利,ダート,1800,良,4,ショコラプリン,2歳,藤岡佑介,四位洋文,中距離,右回り,,クリソベリル,,
阪神,3,未勝利,ダート,1800,良,5,ケイアイアマゾン,2歳,川須栄彦,秋山真一,中距離,右回り,,マインドユアビスケッツ,,
阪神,3,未勝利,ダート,1800,良,6,スマートコーラル,2歳,武豊,石坂公一,中距離,右回り,,マジェスティックウォリアー,,距離短縮
